NAME MPTSPs_50_4
COOMENT 
TYPE MPTSPs
DIMENSION 56
N_PATH 3
EDGE_WEIGHT_TYPE : EXPLICIT
EDGE_DATA_FORMAT : EDGE_LIST
NODE_COORD_SECTION
1 14626.197062698122 14128.292075936204
2 14560.328305014948 13700.728328163153
3 13999.771160255828 14001.166617573379
4 13700.561072450055 13572.990124326865
5 15892.710768557656 14071.18254996007
6 17053.47160994461 14893.315090054726
7 15779.038175327874 14344.539545455598
8 15948.795538180742 16890.710440628616
9 16309.992731771448 16983.715533656945
10 15868.96430637506 16900.42919363057
11 14574.368974481136 14958.993484325463
12 13889.095084412867 15780.731618705435
13 13174.75918465738 17799.71312589833
14 13487.54396291967 17654.13974960264
15 13293.411079104504 16897.582744183583
16 12647.016728851047 14721.773782036835
17 10973.821544483968 15843.06478877767
18 11364.64285052509 15542.024661876025
19 11667.725271035075 15616.101865461384
20 11829.596443304898 16048.103352713153
21 11126.045081091635 13620.200221848576
22 12739.29406447938 13933.509684203726
23 11923.351914341798 13865.194377746615
24 10556.154065981991 13321.7211914277
25 13403.729568743289 13129.639876622641
26 12382.42844450779 11870.794405674753
27 12689.047637055026 12634.360859427718
28 13358.877169780928 12904.117621743475
29 14847.089394244027 10865.165711070276
30 14465.129418899676 12660.010595613185
31 14155.851861396824 10989.15126332702
32 14214.454970775794 12495.989915918222
33 16420.162130061046 12799.110797662577
34 17092.08352486389 12718.28449250601
35 15967.280572449148 12101.060631083537
36 16715.453935517085 12233.70000658978
37 22576.280117587667 14855.277486699688
38 21293.887095709495 17995.431639326747
39 17638.274478446965 18828.116896395317
40 18539.025811998774 18903.991635930175
41 20497.244900461043 16604.95848401332
42 6422.20948258583 14553.551172558029
43 7729.132051095075 14633.049393197089
44 12598.343418836834 22483.738076602513
45 7965.23082070241 14207.98435800555
46 8605.06517806434 19907.1717654954
47 5641.3820742854705 12635.701344020814
48 7748.531150021133 13550.178995927448
49 5285.045945347982 11879.091624703293
50 13304.257283523028 7362.80145456662
51 22830.596836470024 15737.975693652135
52 19699.041586773314 11568.29359693004
53 17572.366352099034 7335.005480496174
54 21407.19563816394 13665.101761354968
55 20519.546321797425 9097.972824404698
56 14633.023915186557 23979.943923830528
EDGE_WEIGHT_SECTION
1 1 0
1 2 168
1 3 249
1 4 476
1 5 476
1 6 971
1 7 454
1 8 1091
1 9 1310
1 10 1405
1 11 346
1 12 762
1 13 1475
1 14 1249
1 15 1239
1 16 814
1 17 1512
1 18 1342
1 19 1167
1 20 1182
1 21 1585
1 22 783
1 23 1078
1 24 1662
1 25 614
1 26 1254
1 27 1043
1 28 767
1 29 1143
1 30 647
1 31 1238
1 32 669
1 33 907
1 34 1046
1 35 967
1 36 1367
1 37 3608
1 38 3068
1 39 2117
1 40 2329
1 41 2568
1 42 3304
1 43 2714
1 44 3538
1 45 2411
1 46 3407
1 47 3512
1 48 2720
1 49 3584
1 50 2578
1 51 3433
1 52 2070
1 53 2924
1 54 2579
1 55 3194
1 56 4294
2 1 168
2 2 0
2 3 266
2 4 333
2 5 579
2 6 1088
2 7 596
2 8 1454
2 9 1216
2 10 1095
2 11 507
2 12 805
2 13 1772
2 14 1614
2 15 1411
2 16 868
2 17 1396
2 18 1466
2 19 1488
2 20 1260
2 21 1264
2 22 791
2 23 973
2 24 1554
2 25 519
2 26 1089
2 27 787
2 28 499
2 29 1081
2 30 361
2 31 986
2 32 508
2 33 896
2 34 1067
2 35 824
2 36 957
2 37 2911
2 38 3148
2 39 2414
2 40 2735
2 41 2680
2 42 3463
2 43 3053
2 44 3937
2 45 2689
2 46 3356
2 47 2763
2 48 2351
2 49 4252
2 50 2754
2 51 3411
2 52 2094
2 53 2800
2 54 2532
2 55 2713
2 56 3907
3 1 249
3 2 266
3 3 0
3 4 197
3 5 789
3 6 1440
3 7 735
3 8 1379
3 9 1453
3 10 1316
3 11 438
3 12 628
3 13 1533
3 14 1658
3 15 1224
3 16 534
3 17 1524
3 18 1149
3 19 1329
3 20 1111
3 21 1139
3 22 505
3 23 950
3 24 1522
3 25 398
3 26 1011
3 27 762
3 28 555
3 29 1286
3 30 547
3 31 1101
3 32 619
3 33 1068
3 34 1321
3 35 1005
3 36 1283
3 37 3420
3 38 2967
3 39 2423
3 40 2353
3 41 3163
3 42 2954
3 43 2127
3 44 3953
3 45 2519
3 46 3306
3 47 3789
3 48 2193
3 49 3201
3 50 2781
3 51 3549
3 52 2145
3 53 2760
3 54 3216
3 55 3479
3 56 4053
4 1 476
4 2 333
4 3 197
4 4 0
4 5 920
4 6 1444
4 7 828
4 8 1375
4 9 1727
4 10 1586
4 11 708
4 12 751
4 13 1986
4 14 1739
4 15 1381
4 16 559
4 17 1451
4 18 1350
4 19 1250
4 20 1029
4 21 1095
4 22 390
4 23 646
4 24 1220
4 25 206
4 26 909
4 27 583
4 28 264
4 29 1083
4 30 477
4 31 919
4 32 510
4 33 1045
4 34 1508
4 35 1009
4 36 1299
4 37 3946
4 38 3947
4 39 2243
4 40 2974
4 41 3093
4 42 3191
4 43 2391
4 44 4142
4 45 2149
4 46 3256
4 47 3523
4 48 2392
4 49 3386
4 50 2799
4 51 3456
4 52 2486
4 53 2782
4 54 4054
4 55 2933
4 56 3995
5 1 476
5 2 579
5 3 789
5 4 920
5 5 0
5 6 553
5 7 113
5 8 1013
5 9 1207
5 10 1110
5 11 620
5 12 1052
5 13 1788
5 14 1655
5 15 1415
5 16 1484
5 17 1960
5 18 1805
5 19 1780
5 20 2171
5 21 2054
5 22 1213
5 23 1404
5 24 2104
5 25 880
5 26 1619
5 27 1346
5 28 1099
5 29 1145
5 30 701
5 31 1334
5 32 895
5 33 548
5 34 777
5 35 810
5 36 841
5 37 2640
5 38 3006
5 39 1909
5 40 2356
5 41 2172
5 42 3634
5 43 3466
5 44 2963
5 45 2838
5 46 3689
5 47 4191
5 48 3543
5 49 4386
5 50 2807
5 51 2683
5 52 1926
5 53 2701
5 54 2192
5 55 2514
5 56 4074
6 1 971
6 2 1088
6 3 1440
6 4 1444
6 5 553
6 6 0
6 7 559
6 8 902
6 9 980
6 10 914
6 11 1020
6 12 1275
6 13 1994
6 14 1789
6 15 1691
6 16 1537
6 17 2800
6 18 2158
6 19 2065
6 20 2170
6 21 2203
6 22 1381
6 23 2484
6 24 2537
6 25 1707
6 26 2106
6 27 2177
6 28 1615
6 29 1908
6 30 1265
6 31 1871
6 32 1389
6 33 906
6 34 857
6 35 1150
6 36 1015
6 37 2242
6 38 2007
6 39 1484
6 40 1726
6 41 1679
6 42 4452
6 43 3429
6 44 3931
6 45 3535
6 46 4076
6 47 5671
6 48 4455
6 49 5204
6 50 3587
6 51 2302
6 52 1813
6 53 2530
6 54 2026
6 55 2502
6 56 3673
7 1 454
7 2 596
7 3 735
7 4 828
7 5 113
7 6 559
7 7 0
7 8 1026
7 9 1058
7 10 940
7 11 505
7 12 1030
7 13 1731
7 14 1472
7 15 1316
7 16 1200
7 17 1920
7 18 1894
7 19 1756
7 20 1583
7 21 1784
7 22 1245
7 23 1627
7 24 2187
7 25 1061
7 26 1767
7 27 1434
7 28 1092
7 29 1160
7 30 849
7 31 1467
7 32 790
7 33 641
7 34 812
7 35 969
7 36 845
7 37 3323
7 38 2456
7 39 2056
7 40 2080
7 41 2019
7 42 3715
7 43 3452
7 44 3138
7 45 2650
7 46 4053
7 47 4438
7 48 2901
7 49 4334
7 50 2895
7 51 3063
7 52 1873
7 53 2896
7 54 2363
7 55 3001
7 56 3776
8 1 1091
8 2 1454
8 3 1379
8 4 1375
8 5 1013
8 6 902
8 7 1026
8 8 0
8 9 139
8 10 37
8 11 943
8 12 893
8 13 935
8 14 1021
8 15 990
8 16 1465
8 17 1832
8 18 1872
8 19 1730
8 20 1555
8 21 2005
8 22 1706
8 23 2005
8 24 2653
8 25 1938
8 26 2593
8 27 1929
8 28 2119
8 29 2110
8 30 1788
8 31 2594
8 32 1761
8 33 1435
8 34 1828
8 35 2082
8 36 1732
8 37 2707
8 38 2056
8 39 983
8 40 1250
8 41 1995
8 42 3762
8 43 3545
8 44 2700
8 45 3362
8 46 3379
8 47 4007
8 48 3470
8 49 4555
8 50 3642
8 51 2927
8 52 2744
8 53 3955
8 54 2701
8 55 3537
8 56 2502
9 1 1310
9 2 1216
9 3 1453
9 4 1727
9 5 1207
9 6 980
9 7 1058
9 8 139
9 9 0
9 10 180
9 11 947
9 12 1148
9 13 1365
9 14 1173
9 15 1239
9 16 1666
9 17 2280
9 18 2083
9 19 1965
9 20 1736
9 21 2148
9 22 1756
9 23 2278
9 24 2931
9 25 2035
9 26 2275
9 27 2195
9 28 2211
9 29 2620
9 30 1903
9 31 2433
9 32 1954
9 33 1870
9 34 1460
9 35 1758
9 36 2064
9 37 2674
9 38 1823
9 39 900
9 40 1210
9 41 1585
9 42 3828
9 43 3611
9 44 2964
9 45 3815
9 46 3636
9 47 4192
9 48 3646
9 49 4490
9 50 3689
9 51 2224
9 52 2216
9 53 3962
9 54 2473
9 55 4369
9 56 2696
10 1 1405
10 2 1095
10 3 1316
10 4 1586
10 5 1110
10 6 914
10 7 940
10 8 37
10 9 180
10 10 0
10 11 888
10 12 938
10 13 1136
10 14 1179
10 15 986
10 16 1596
10 17 2001
10 18 2152
10 19 1506
10 20 1487
10 21 2366
10 22 1871
10 23 1997
10 24 2689
10 25 1804
10 26 2283
10 27 2047
10 28 1953
10 29 2840
10 30 1889
10 31 2169
10 32 2140
10 33 1513
10 34 1728
10 35 1914
10 36 1739
10 37 3091
10 38 2130
10 39 1041
10 40 1428
10 41 1619
10 42 4021
10 43 3397
10 44 2103
10 45 3148
10 46 3099
10 47 4559
10 48 3441
10 49 4071
10 50 4013
10 51 2862
10 52 2492
10 53 4021
10 54 2760
10 55 3592
10 56 3074
11 1 346
11 2 507
11 3 438
11 4 708
11 5 620
11 6 1020
11 7 505
11 8 943
11 9 947
11 10 888
11 11 0
11 12 478
11 13 1455
11 14 1193
11 15 980
11 16 738
11 17 1305
11 18 1326
11 19 1256
11 20 1303
11 21 1439
11 22 703
11 23 1066
11 24 1994
11 25 945
11 26 1449
11 27 1386
11 28 998
11 29 1738
11 30 922
11 31 1483
11 32 949
11 33 1186
11 34 1242
11 35 1476
11 36 1495
11 37 3210
11 38 2747
11 39 1677
11 40 2321
11 41 2285
11 42 3230
11 43 2864
11 44 3163
11 45 2558
11 46 3441
11 47 3478
11 48 3101
11 49 4013
11 50 3340
11 51 3440
11 52 2586
11 53 3127
11 54 2539
11 55 2892
11 56 3826
12 1 762
12 2 805
12 3 628
12 4 751
12 5 1052
12 6 1275
12 7 1030
12 8 893
12 9 1148
12 10 938
12 11 478
12 12 0
12 13 900
12 14 701
12 15 507
12 16 704
12 17 1286
12 18 967
12 19 831
12 20 838
12 21 1394
12 22 821
12 23 1069
12 24 1486
12 25 961
12 26 1621
12 27 1269
12 28 1151
12 29 1753
12 30 1357
12 31 1958
12 32 1569
12 33 1569
12 34 1846
12 35 1718
12 36 1755
12 37 3607
12 38 3000
12 39 1900
12 40 1878
12 41 2404
12 42 3048
12 43 2723
12 44 2454
12 45 2481
12 46 2636
12 47 3403
12 48 2450
12 49 3733
12 50 3436
12 51 4033
12 52 2849
12 53 4041
12 54 3172
12 55 3667
12 56 3397
13 1 1475
13 2 1772
13 3 1533
13 4 1986
13 5 1788
13 6 1994
13 7 1731
13 8 935
13 9 1365
13 10 1136
13 11 1455
13 12 900
13 13 0
13 14 143
13 15 343
13 16 1080
13 17 1094
13 18 1030
13 19 1126
13 20 845
13 21 1908
13 22 1443
13 23 1428
