NAME MPTSPs_50_3
COOMENT 
TYPE MPTSPs
DIMENSION 56
N_PATH 3
EDGE_WEIGHT_TYPE : EXPLICIT
EDGE_DATA_FORMAT : EDGE_LIST
NODE_COORD_SECTION
1 14446.797891624325 14154.016775979582
2 13446.463415508306 14390.109608798257
3 14237.856583582998 14885.561613124262
4 13337.255824312704 13542.803432356164
5 14498.844248187668 13966.023301365787
6 14498.01601856768 13955.50230062129
7 13842.199789084842 14474.446091179103
8 14211.724016495513 13547.039802147023
9 13134.152477824244 13499.692026505569
10 13224.558739283328 13368.580289206824
11 14714.05117315207 13299.906490445632
12 12774.537532664499 13134.990323087663
13 15239.2923615713 14845.076589754462
14 14131.785299312045 12505.800336338803
15 13892.333188229484 15496.13096273126
16 15863.791455977678 13274.547445641958
17 12236.551418239358 13056.469873567155
18 12978.8251036302 15719.651659791636
19 14241.605038087422 15985.353118609075
20 12567.209033405976 11951.315044706347
21 14327.530525863154 11521.5481133119
22 14816.995199421295 11637.264542077859
23 16359.568130050044 13173.90179781569
24 11540.453594012082 14447.919051606328
25 14750.948748584155 16904.492378540508
26 12486.908930625723 11409.526024878882
27 14450.841829809837 11034.06985171705
28 12344.955936613633 16502.164892298177
29 11678.49710856587 16619.279352238507
30 10518.649560393596 13639.168852990353
31 12621.905249451911 17217.27444563124
32 12872.91931378296 10686.438603744225
33 17146.682288045533 12467.554053775295
34 16846.634525988145 16810.10175535553
35 12052.121422592556 10506.324421518628
36 10951.7232999796 16589.982463282857
37 14047.615821015597 8000.188941842501
38 18710.510465452277 10283.672356362455
39 18245.315524842194 9760.035838060205
40 12604.759821932497 8164.479042492765
41 11555.158297025835 20559.172893543695
42 20749.68084222531 12144.78881846388
43 15080.234314721381 20916.147325303187
44 17681.344701624468 19953.797207482083
45 15221.572872231434 7107.412697845007
46 21805.076415282245 15755.215699452592
47 15883.533640364552 6224.892217749322
48 12343.150167869982 21826.547682967936
49 15291.04736694775 6104.86246501701
50 20837.730871788743 9847.237482712602
51 5333.502897289652 16427.308791380518
52 5342.493917814565 11540.81549351778
53 8867.454334006752 21393.035573192785
54 21549.679733493023 9100.782111225839
55 18920.689655922673 6464.297424254616
56 9024.976487405296 5325.373722797629
EDGE_WEIGHT_SECTION
1 1 0
1 2 447
1 3 339
1 4 656
1 5 114
1 6 102
1 7 389
1 8 325
1 9 799
1 10 763
1 11 494
1 12 1084
1 13 568
1 14 962
1 15 765
1 16 988
1 17 1192
1 18 1220
1 19 977
1 20 1590
1 21 1215
1 22 1409
1 23 1154
1 24 1410
1 25 1481
1 26 1901
1 27 1529
1 28 1554
1 29 1865
1 30 2152
1 31 2039
1 32 2191
1 33 1735
1 34 1811
1 35 2166
1 36 2423
1 37 2851
1 38 3178
1 39 3315
1 40 3165
1 41 3640
1 42 3372
1 43 3212
1 44 3622
1 45 3199
1 46 3758
1 47 5290
1 48 3812
1 49 3690
1 50 4120
1 51 6124
1 52 5392
1 53 4894
1 54 5007
1 55 3977
1 56 4958
2 1 447
2 2 0
2 3 450
2 4 449
2 5 534
2 6 522
2 7 214
2 8 625
2 9 514
2 10 616
2 11 715
2 12 739
2 13 833
2 14 1013
2 15 603
2 16 1308
2 17 879
2 18 756
2 19 931
2 20 1406
2 21 1563
2 22 1417
2 23 1669
2 24 849
2 25 1462
2 26 1727
2 27 1747
2 28 1087
2 29 1349
2 30 1629
2 31 1434
2 32 1893
2 33 2150
2 34 2171
2 35 2064
2 36 1903
2 37 3218
2 38 3862
2 39 3348
2 40 3752
2 41 3372
2 42 4104
2 43 3707
2 44 3421
2 45 3495
2 46 4517
2 47 3708
2 48 4416
2 49 4048
2 50 4758
2 51 4024
2 52 4514
2 53 3867
2 54 4503
2 55 5389
2 56 5176
3 1 339
3 2 450
3 3 0
3 4 861
3 5 619
3 6 524
3 7 330
3 8 758
3 9 948
3 10 1025
3 11 874
3 12 1263
3 13 532
3 14 1305
3 15 376
3 16 1097
3 17 1418
3 18 737
3 19 638
3 20 1907
3 21 1533
3 22 1808
3 23 1316
3 24 1290
3 25 1077
3 26 2096
3 27 1792
3 28 1359
3 29 1490
3 30 2233
3 31 1299
3 32 2310
3 33 1959
3 34 1808
3 35 2737
3 36 2028
3 37 3721
3 38 3290
3 39 3190
3 40 3732
3 41 2816
3 42 3592
3 43 3414
3 44 3268
3 45 3994
3 46 3254
3 47 5466
3 48 3856
3 49 4778
3 50 4711
3 51 4717
3 52 4343
3 53 4448
3 54 4844
3 55 4730
3 56 6870
4 1 656
4 2 449
4 3 861
4 4 0
4 5 629
4 6 678
4 7 499
4 8 546
4 9 99
4 10 129
4 11 724
4 12 397
4 13 1369
4 14 667
4 15 1030
4 16 1173
4 17 662
4 18 1016
4 19 1302
4 20 925
4 21 1201
4 22 1296
4 23 1535
4 24 1037
4 25 1816
4 26 1413
4 27 1536
4 28 1680
4 29 1709
4 30 1267
4 31 1690
4 32 1486
4 33 2059
4 34 2418
4 35 1767
4 36 1995
4 37 3064
4 38 2969
4 39 3286
4 40 2947
4 41 3723
4 42 3305
4 43 4617
4 44 4047
4 45 4025
4 46 4423
4 47 4248
4 48 3443
4 49 4214
4 50 3863
4 51 4981
4 52 4113
4 53 4639
4 54 4426
4 55 5074
4 56 4758
5 1 114
5 2 534
5 3 619
5 4 629
5 5 0
5 6 7
5 7 401
5 8 247
5 9 810
5 10 780
5 11 374
5 12 965
5 13 498
5 14 702
5 15 847
5 16 873
5 17 1320
5 18 1175
5 19 1116
5 20 1334
5 21 1369
5 22 1214
5 23 1083
5 24 1747
5 25 1607
5 26 1803
5 27 1605
5 28 1421
5 29 2044
5 30 1898
5 31 2161
5 32 2017
5 33 1662
5 34 1985
5 35 2300
5 36 2003
5 37 3183
5 38 3177
5 39 2831
5 40 3240
5 41 3366
5 42 3487
5 43 3878
5 44 3466
5 45 3777
5 46 4271
5 47 3727
5 48 4416
5 49 3912
5 50 4107
5 51 5861
5 52 4845
5 53 5034
5 54 4968
5 55 4798
5 56 5104
6 1 102
6 2 522
6 3 524
6 4 678
6 5 7
6 6 0
6 7 462
6 8 289
6 9 870
6 10 690
6 11 359
6 12 856
6 13 542
6 14 788
6 15 931
6 16 752
6 17 1366
6 18 1114
6 19 906
6 20 1611
6 21 1301
6 22 1080
6 23 971
6 24 1497
6 25 1443
6 26 1497
6 27 1647
6 28 1612
6 29 2310
6 30 1956
6 31 1893
6 32 1943
6 33 1853
6 34 2059
6 35 2003
6 36 2060
6 37 2707
6 38 2835
6 39 2946
6 40 2957
6 41 4442
6 42 2816
6 43 4011
6 44 3623
6 45 3567
6 46 4264
6 47 3474
6 48 5355
6 49 3994
6 50 3980
6 51 4930
6 52 4908
6 53 5184
6 54 4135
6 55 4958
6 56 5102
7 1 389
7 2 214
7 3 330
7 4 499
7 5 401
7 6 462
7 7 0
7 8 516
7 9 581
7 10 689
7 11 838
7 12 927
7 13 736
7 14 1069
7 15 487
7 16 1189
7 17 1294
7 18 667
7 19 918
7 20 1476
7 21 1732
7 22 1651
7 23 1647
7 24 1185
7 25 1285
7 26 2024
7 27 1633
7 28 1136
7 29 1226
7 30 1822
7 31 1419
7 32 2127
7 33 1914
7 34 2255
7 35 1932
7 36 1684
7 37 3315
7 38 3399
7 39 3578
7 40 3186
7 41 3365
7 42 3941
7 43 4071
7 44 3824
7 45 3763
7 46 4320
7 47 4111
7 48 4088
7 49 4136
7 50 4408
7 51 4853
7 52 4204
7 53 4658
7 54 5073
7 55 4655
7 56 5138
8 1 325
8 2 625
8 3 758
8 4 546
8 5 247
8 6 289
8 7 516
8 8 0
8 9 677
8 10 513
8 11 265
8 12 727
8 13 942
8 14 544
8 15 1140
8 16 791
8 17 961
8 18 1239
8 19 1356
8 20 1218
8 21 1131
8 22 970
8 23 1148
8 24 1364
8 25 1729
8 26 1373
8 27 1505
8 28 1932
8 29 2261
8 30 1642
8 31 2194
8 32 1705
8 33 1645
8 34 2061
8 35 1951
8 36 2352
8 37 2837
8 38 2877
8 39 3078
8 40 3136
8 41 3825
8 42 3872
8 43 3912
8 44 3997
8 45 3194
8 46 3831
8 47 3815
8 48 5872
8 49 4147
8 50 5164
8 51 4968
8 52 4697
8 53 4652
8 54 5157
8 55 4503
8 56 4936
9 1 799
9 2 514
9 3 948
9 4 99
9 5 810
9 6 870
9 7 581
9 8 677
9 9 0
9 10 84
9 11 887
9 12 272
9 13 1300
9 14 763
9 15 1167
9 16 1301
9 17 503
9 18 1166
9 19 1325
9 20 976
9 21 1500
9 22 1430
9 23 1572
9 24 917
9 25 1762
9 26 1108
9 27 1701
9 28 1638
9 29 2060
9 30 1135
9 31 2157
9 32 1427
9 33 2128
9 34 2357
9 35 1483
9 36 1892
9 37 3384
9 38 4330
9 39 3619
9 40 2980
9 41 3989
9 42 4415
9 43 3410
9 44 4150
9 45 3917
9 46 5127
9 47 4282
9 48 5120
9 49 4702
9 50 3920
9 51 4548
9 52 4735
9 53 4306
9 54 5292
9 55 4160
9 56 4522
10 1 763
10 2 616
10 3 1025
10 4 129
10 5 780
10 6 690
10 7 689
10 8 513
10 9 84
10 10 0
10 11 759
10 12 303
10 13 1311
10 14 692
10 15 1276
10 16 1382
10 17 573
10 18 1135
10 19 1491
10 20 800
10 21 1322
10 22 1185
10 23 1462
10 24 1124
10 25 2445
10 26 1147
10 27 1570
10 28 1582
10 29 1958
10 30 1528
10 31 1857
10 32 1314
10 33 2000
10 34 2272
10 35 1655
10 36 2099
10 37 2778
10 38 3285
10 39 3238
10 40 2947
10 41 3923
10 42 3692
10 43 4078
10 44 4649
10 45 3589
10 46 4667
10 47 4521
10 48 4382
10 49 3421
10 50 3848
10 51 4285
10 52 5199
10 53 4641
10 54 5157
10 55 4981
10 56 4456
11 1 494
11 2 715
11 3 874
11 4 724
11 5 374
11 6 359
11 7 838
11 8 265
11 9 887
11 10 759
11 11 0
11 12 984
11 13 764
11 14 574
11 15 1217
11 16 542
11 17 1307
11 18 1585
11 19 1568
11 20 1245
11 21 1094
11 22 934
11 23 867
11 24 1809
11 25 1906
11 26 1685
11 27 1425
11 28 1961
11 29 2848
11 30 2167
11 31 2348
11 32 1789
11 33 1253
11 34 2336
11 35 1987
11 36 3065
11 37 2791
11 38 2686
11 39 2803
11 40 3001
11 41 3861
11 42 3674
11 43 4233
11 44 3399
11 45 3814
11 46 3363
11 47 4290
11 48 4565
11 49 3383
11 50 3216
11 51 4622
11 52 4927
11 53 5951
11 54 4762
11 55 4238
11 56 5484
12 1 1084
12 2 739
12 3 1263
12 4 397
12 5 965
12 6 856
12 7 927
12 8 727
12 9 272
12 10 303
12 11 984
12 12 0
12 13 1462
12 14 768
12 15 1373
12 16 1886
12 17 296
12 18 1264
12 19 1777
12 20 615
12 21 1033
12 22 1425
12 23 1973
12 24 943
12 25 2148
12 26 855
12 27 1382
12 28 1660
12 29 1932
12 30 1245
12 31 2102
12 32 1167
12 33 2381
12 34 2841
12 35 1573
12 36 2443
12 37 2772
12 38 3414
12 39 3951
12 40 2429
12 41 4373
12 42 4224
12 43 4512
12 44 4437
12 45 3291
12 46 5449
12 47 4413
12 48 4275
12 49 3879
12 50 4720
12 51 3816
12 52 4464
12 53 4282
12 54 5791
12 55 5391
12 56 5428
13 1 568
13 2 833
13 3 532
13 4 1369
13 5 498
13 6 542
13 7 736
13 8 942
13 9 1300
13 10 1311
13 11 764
13 12 1462
13 13 0
13 14 1482
13 15 879
13 16 844
13 17 1899
13 18 1426
13 19 732
13 20 2133
13 21 1681
13 22 1956
13 23 1054
13 24 1943
13 25 1150
13 26 2435
13 27 1835
13 28 1853
