windGenerators:	TESLA_WIND	MOHAVE_WIND	IMPRLVLY_WIND	VACA-DIX_WIND	ADELANTO_WIND
1	396.2702195	1238.186177	945.255522	522.963052	1831.417523
2	379.2464828	912.8333954	1045.838802	504.8612545	1065.626648
3	426.3891382	921.747766	1116.027631	616.7632755	2257.068163
4	443.4128749	1147.544747	1173.446937	621.7001293	3889.338806
5	511.639202	1264.556826	1121.02293	737.5048868	4851.369402
6	528.714993	1031.403113	1079.395439	945.1972839	5426.240193
7	521.60008	1082.983686	1015.588928	966.0952725	4545.763248
8	417.2225108	1266.208557	718.1985023	755.9424458	3260.427201
9	345.4824969	1251.446162	288.7742929	611.8264216	1780.253745
10	188.1471008	380.4485216	183.5606118	541.0648495	1182.025079
11	82.50090198	285.3389686	222.0567068	362.4969459	1765.635522
12	33.91928616	301.248891	182.3188023	255.4102084	1575.598633
13	31.02536495	157.4520336	138.8554692	344.0626097	467.0101115
14	28.77453734	56.43112165	153.7571834	345.4924872	143.9316347
15	40.67176898	116.7043524	95.75258458	412.5027593	57.03376428
16	50.4269496	127.5353384	90.47786217	359.7912616	50.15724211
17	73.70643116	125.9880547	136.3718502	291.1571444	37.57277868
18	86.63947648	67.96491555	246.3830293	256.8400859	61.17175811
19	86.12215466	96.58966417	279.3540121	241.7780085	189.4495668
20	116.8431427	145.7285153	293.4844333	286.8675121	394.9767318
21	118.4475174	196.1396441	312.3249949	194.2471464	591.9720483
22	86.12215466	121.3462035	312.3249949	127.7475453	754.9658789
23	50.94427142	189.1055331	321.7452756	74.28679817	1041.121715
24	70.08517848	170.3479038	587.7664362	124.8946298	1047.247948
25	158.8044368	263.0650772	820.3871411	361.221139	1139.141446
26	170.5415024	259.8830927	925.3572194	380.2409442	1911.817745
27	208.1001123	375.4561045	1032.730523	468.9609358	2551.318803
28	152.1393862	219.5866807	1075.080346	428.6336669	1926.435968
29	107.2168945	112.8361431	946.4260104	344.0626097	825.5965388
30	99.195021	398.7540508	871.9763998	338.3431	836.4627942
31	79.3969711	732.3431731	832.9358797	315.4650609	1194.277545
32	49.39230598	312.3858367	653.5675289	195.3525152	1473.271077
33	67.49856942	101.2315153	851.0618355	158.875342	1065.626648
34	113.6343933	321.9317902	828.7529668	242.8833774	1022.743015
35	61.29070767	481.9610017	704.5585007	140.5856649	651.7364528
36	82.50090198	302.8398833	545.0846463	157.7699731	613.704559
37	67.49856942	600.3557217	527.3005672	230.7243197	651.7364528
38	88.70876373	737.7922871	503.7635443	256.8400859	673.4689636
39	165.8466761	1017.229381	610.8857391	339.7729774	494.1757499
40	235.0953632	971.2093552	655.3459368	319.7546932	348.3552481
41	142.513138	996.1916551	532.6357909	184.2988264	141.8626378
42	64.91196035	1031.692818	335.8756968	119.1887989	187.3805699
43	84.05286741	986.9876499	374.9839371	144.1518092	463.354908
44	56.63481135	609.9400591	429.3978556	70.85535583	521.3413883
45	55.08284592	461.9913335	433.0254502	59.58061672	553.9401545
46	31.02536495	755.9560002	469.3013959	50.20746875	924.723284
47	19.91057521	631.0256015	404.0046937	27.66750555	1126.88898
48	47.4242518	725.0776879	433.0254502	49.08047059	1261.66611
49	105.6125198	805.8609473	481.9979769	164.4021864	1365.812075
50	108.8212692	631.0256015	387.6805181	171.0343997	1280.04481
51	132.0847024	333.0687359	195.9787069	168.8236619	1188.151312
52	211.621232	148.073219	157.482612	182.0880886	1597.525966
53	257.9447563	42.40817032	101.9064274	195.3525152	2014.145302
54	156.4570237	67.19127369	151.2735644	227.408213	2724.407415
55	99.99720835	73.38040853	104.5437886	314.0351835	2672.480831
56	111.2278313	21.57202564	85.20313977	449.6038467	3229.668506
57	213.9686451	73.38040853	82.56577857	527.8999059	3680.216664
58	306.4271973	113.609785	90.47786217	608.5351857	4938.685446
59	310.4674007	473.6403066	100.1481866	511.4437263	5356.530949
60	253.9045529	841.51843	62.34600934	494.9875468	6011.875918
61	156.4570237	732.3431731	65.86249095	485.0918434	6254.121983
62	45.17342419	741.4250297	47.40096253	341.2028548	5612.07391
63	31.99000535	681.4847764	60.58776854	302.5961639	3959.046187
64	30.06072455	629.108734	83.44489897	318.3248158	2508.04665
65	12.71657584	679.668405	99.26906618	177.666613	1889.890412
66	5.295263731	372.1278265	182.3188023	93.40483406	1999.527079
67	8.551628834	357.1505753	244.8129825	74.28679817	1897.199523
68	7.226418423	380.4485216	223.2985163	60.07082276	2395.539052
69	8.362313061	342.6146894	192.2532784	51.71013296	2378.230191
70	11.76999697	352.1581583	214.6058497	42.69414768	2352.266899
71	18.39604902	473.6403066	215.8476592	55.65896833	2516.701081
72	31.99000535	407.0747459	213.3640402	142.0121226	3157.898216
