problem,instance,cont1,bin1,int1,cont2,bin2,int2,cont,bin,int,rows,cols,sparsity_A,sparsity_W,sparsity_T,sparsity_total,size_cor,size_tim,size_sto
DCAP,DCAP_2_3_3_200,6,6,0,9,18,0,1806,3606,0,3006,5412,16.67,11.11,7.78,0.07,5.38,0.12,339.78
DCAP,DCAP_2_3_3_300,6,6,0,9,18,0,2706,5406,0,4506,8112,16.67,11.11,7.78,0.05,5.38,0.12,510.48
DCAP,DCAP_2_3_3_500,6,6,0,9,18,0,4506,9006,0,7506,13512,16.67,11.11,7.78,0.03,5.38,0.12,851.88
DCAP,DCAP_2_3_3_10000,6,6,0,9,18,0,90006,180006,0,150006,270012,16.67,11.11,7.78,0.0,5.38,0.12,17068.38
DCAP,DCAP_2_4_3_200,6,6,0,12,24,0,2406,4806,0,3606,7212,16.67,9.26,6.48,0.06,6.47,0.12,450.23
DCAP,DCAP_2_4_3_300,6,6,0,12,24,0,3606,7206,0,5406,10812,16.67,9.26,6.48,0.04,6.47,0.12,676.43
DCAP,DCAP_2_4_3_500,6,6,0,12,24,0,6006,12006,0,9006,18012,16.67,9.26,6.48,0.02,6.47,0.12,1128.83
DCAP,DCAP_2_4_3_10000,6,6,0,12,24,0,120006,240006,0,180006,360012,16.67,9.26,6.48,0.0,6.47,0.12,22617.83
DCAP,DCAP_3_3_2_200,6,6,0,6,18,0,1206,3606,0,2406,4812,16.67,14.58,7.64,0.09,4.9,0.12,317.69
DCAP,DCAP_3_3_2_300,6,6,0,6,18,0,1806,5406,0,3606,7212,16.67,14.58,7.64,0.06,4.9,0.12,477.29
DCAP,DCAP_3_3_2_500,6,6,0,6,18,0,3006,9006,0,6006,12012,16.67,14.58,7.64,0.04,4.9,0.12,796.49
DCAP,DCAP_3_3_2_10000,6,6,0,6,18,0,60006,180006,0,120006,240012,16.67,14.58,7.64,0.0,4.9,0.12,15958.5
DCAP,DCAP_3_4_2_200,6,6,0,8,24,0,1606,4806,0,2806,6412,16.67,12.5,6.55,0.07,5.87,0.12,420.77
DCAP,DCAP_3_4_2_300,6,6,0,8,24,0,2406,7206,0,4206,9612,16.67,12.5,6.55,0.05,5.87,0.12,632.17
DCAP,DCAP_3_4_2_500,6,6,0,8,24,0,4006,12006,0,7006,16012,16.67,12.5,6.55,0.03,5.87,0.12,1054.97
DCAP,DCAP_3_4_2_10000,6,6,0,8,24,0,80006,240006,0,140006,320012,16.67,12.5,6.55,0.0,5.87,0.12,21137.98
