,Objective value,,Optimality Gap,,LP2-Relax Gap,REVPI,RVSS
instance,CPLEX (SD),DSP (SD),CPLEX (time),DSP (time),CPLEX,CPLEX,CPLEX
AIRLIFT_200,283549.13,283519.00,0.23 (timelimit),0.17 (10.8),0.67,,
AIRLIFT_300,283781.77,283753.00,0.25 (timelimit),0.17 (18.5),0.66,,
AIRLIFT_500,283612.46,283437.00,0.33 (timelimit),0.16 (35.2),0.73,,
AIRLIFT_1000,284948.96,284539.00,0.47 (timelimit),0.14 (78.3),0.78,,
CARGO_10,773.66,비정상,0.00 (15.26),,0.00,,
CARGO_50,798.99,807.88,0.00 (179.34),14.53 (timelimit),0.00,,
CARGO_100,819.27,834.94,0.00 (2369.61),40.22 (timelimit),0.00,,
CHEM_200,-103.69,-103.69,0.00 (0.01),0.00 (0.2),0.00,,
CHEM_300,-68.67,-68.67,0.00 (0.02),0.00 (0.3),0.00,,
CHEM_500,-54.29,-54.29,0.00 (0.02),0.00 (0.5),0.02,,
CHEM_1000,-28.44,-28.44,0.00 (0.03),0.00 (1.5),0.03,,
DCAP_2_3_3_200,1670.65,1671.75,0.00 (1.11),0.10 (75.8),51.52,,
DCAP_2_3_3_300,1629.26,1630.09,0.00 (1.42),0.11 (125.5),51.70,,
DCAP_2_3_3_500,1667.27,1668.36,0.00 (2.86),0.11 (214.2),51.57,,
DCAP_2_4_3_200,2597.19,2597.11,0.00 (0.8),0.04 (85.0),39.30,,
DCAP_2_4_3_300,2513.51,2513.85,0.00 (3.18),0.05 (140.6),38.22,,
DCAP_2_4_3_500,2574.54,2574.81,0.00 (7.94),0.05 (273.7),39.50,,
DCAP_3_3_2_200,1420.95,1423.92,0.00 (22.17),0.36 (69.0),78.11,,
DCAP_3_3_2_300,1423.33,1426.22,0.00 (102.52),0.29 (119.1),77.45,,
DCAP_3_3_2_500,1465.63,1469.09,0.00 (42.04),0.35 (257.2),78.30,,
DCAP_3_4_2_200,1985.41,1986.93,0.00 (11.13),0.12 (69.1),59.72,,
DCAP_3_4_2_300,1923.84,1924.46,0.00 (24.13),0.11 (122.3),59.29,,
DCAP_3_4_2_500,1901.16,1901.27,0.00 (73.12),0.08 (238.3),58.91,,
MPTSPs_D0_50_100,2071.34,error,0.00 (3.20),,0.00,,
MPTSPs_D1_50_100,2284.04,error,0.00 (4.03),,0.00,,
