,CPLEX,,DSP (default),,,DSP (LD),
instance,Objective,Time (or gap),Primal bound,Dual bound,Time (or gap),Dual bound,Time (or gap)
AIRLIFT_200,283549.13,0.23%,,,,,
AIRLIFT_300,283781.77,0.25%,,,,,
AIRLIFT_500,283612.46,0.33%,,,,,
AIRLIFT_1000,284948.96,0.47%,,,,,
CARGO_10,773.66,15.26,,,,,
CARGO_50,798.99,179.34,,,,,
CARGO_100,819.27,2369.61,,,,,
CHEM_200,-103.69,0.01,,,,,
CHEM_300,-68.67,0.02,,,,,
CHEM_500,-54.29,0.02,,,,,
CHEM_1000,-28.44,0.03,,,,,
DCAP_2_3_3_200,1670.65,1.11,,,,,
DCAP_2_3_3_300,1629.26,1.42,,,,,
DCAP_2_3_3_500,1667.27,2.86,,,,,
DCAP_2_4_3_200,2597.19,0.8,,,,,
DCAP_2_4_3_300,2513.51,3.18,,,,,
DCAP_2_4_3_500,2574.54,7.94,,,,,
DCAP_3_3_2_200,1420.95,22.17,,,,,
DCAP_3_3_2_300,1423.33,102.52,,,,,
DCAP_3_3_2_500,1465.63,42.04,,,,,
DCAP_3_4_2_200,1985.41,11.13,,,,,
DCAP_3_4_2_300,1923.84,24.13,,,,,
DCAP_3_4_2_500,1901.16,73.12,,,,,
MPTSPs_D0_50_100,2071.34,3.2,,,,,
MPTSPs_D1_50_100,2284.04,4.03,,,,,
MPTSPs_D2_50_100,2968.05,8.7,,,,,
MPTSPs_D3_50_100,3075.65,12.08,,,,,
PHONE_200,124.82,0.31,,,,,
PHONE_300,124.46,0.39,,,,,
PHONE_500,124.89,0.67,,,,,
PHONE_1000,125.13,1.2,,,,,
SDCP_5_10_FallWD_10,32692100,262.29,,,,,
SDCP_5_10_FallWE_10,38162700,273.41,,,,,
SDCP_5_10_SpringWD_10,29862600,258.55,,,,,
SDCP_5_10_SpringWE_10,40646200,251.44,,,,,
SDCP_5_10_SummerWD_10,31373600,651.83,,,,,
SDCP_5_10_SummerWE_10,37011600,374.19,,,,,
SDCP_5_10_WinterWD_10,31047200,534.04,,,,,
SDCP_5_10_WinterWE_10,2205120,1213.69,,,,,
SIZES_3,136932,0.44,,,,,
SIZES_5,166365,0.6,,,,,
SIZES_10,249445,0.63,,,,,
SMKP_120_20,9688.75,0.21%,,,,,
SMKP_120_40,9677.18,0.26%,,,,,
SMKP_120_60,9671.68,0.24%,,,,,
SMKP_120_80,9692.27,0.25%,,,,,
SMKP_120_100,9688.88,0.26%,,,,,
SSLP_5_25_50,-127.7,0.24,,,,,
SSLP_5_25_100,-125.88,0.54,,,,,
SSLP_5_50_50,-323.4,0.31,,,,,
SSLP_5_50_100,-329.89,1.05,,,,,
SSLP_10_45_5,-271.2,0.43,,,,,
SSLP_10_45_10,-289.6,0.5,,,,,
SSLP_10_45_15,-313.14,0.63,,,,,
SSLP_10_50_50,-354.7,1.29,,,,,
SSLP_10_50_100,-331.25,5.42,,,,,
SSLP_10_50_500,-345.54,181.35,,,,,
SSLP_10_50_1000,-350.82,584.54,,,,,
SSLP_10_50_2000,-349.71,1541.44,,,,,
SUC_FallWD_10,2473720,2807.89,,,,,
SUC_FallWE_10,1562830,1280.31,,,,,
SUC_SpringWD_10,1633280,1082.81,,,,,
SUC_SpringWE_10,1075950,702.16,,,,,
SUC_SummerWD_10,4682171.35,0.03%,,,,,
SUC_SummerWE_10,3127121.14,0.05%,,,,,
SUC_WinterWD_10,1797560,2407.82,,,,,
SUC_WinterWE_10,1262630,1856.55,,,,,
