,,1st stage variables,,,2nd stage variables (single scenario),,,Total,,,,,,,File size,,
Problem,Instance,#cont1,#bin1,#int1,#cont2,#bin2,#int2,#cont,#bin,#int,#rows,#cols,#nonzeros,%density,.cor,.tim,.sto
DCAP,DCAP_2_3_3_500,6,6,0,9,18,0,4506,9006,0,7506,13512,28512,0.0281,,,
,DCAP_2_3_3_1000,6,6,0,9,18,0,9006,18006,0,15006,27012,57012,0.0141,,,
,DCAP_2_3_3_5000,6,6,0,9,18,0,45006,90006,0,75006,135012,285012,0.0028,,,
,DCAP_2_3_3_10000,6,6,0,9,18,0,90006,180006,0,150006,270012,570012,0.0014,,,
,DCAP_2_4_3_500,6,6,0,12,24,0,6006,12006,0,9006,18012,36012,0.0222,,,
,DCAP_2_4_3_1000,6,6,0,12,24,0,12006,24006,0,18006,36012,72012,0.0111,,,
,DCAP_2_4_3_5000,6,6,0,12,24,0,60006,120006,0,90006,180012,360012,0.0022,,,
,DCAP_2_4_3_10000,6,6,0,12,24,0,120006,240006,0,180006,360012,720012,0.0011,,,
,DCAP_3_3_2_500,6,6,0,6,18,0,3006,9006,0,6006,12012,25512,0.0354,,,
,DCAP_3_3_2_1000,6,6,0,6,18,0,6006,18006,0,12006,24012,51012,0.0177,,,
,DCAP_3_3_2_5000,6,6,0,6,18,0,30006,90006,0,60006,120012,255012,0.0035,,,
,DCAP_3_3_2_10000,6,6,0,6,18,0,60006,180006,0,120006,240012,510012,0.0018,,,
,DCAP_3_4_2_500,6,6,0,8,24,0,4006,12006,0,7006,16012,32512,0.029,,,
,DCAP_3_4_2_1000,6,6,0,8,24,0,8006,24006,0,14006,32012,65012,0.0145,,,
,DCAP_3_4_2_5000,6,6,0,8,24,0,40006,120006,0,70006,160012,325012,0.0029,,,
,DCAP_3_4_2_10000,6,6,0,8,24,0,80006,240006,0,140006,320012,650012,0.0015,,,
MPTSPs,MPTSPs_D0_50_100,2450,2450,0,0,7350,0,2450,737450,0,247550,739900,994504,0.0005,,,
,MPTSPs_D0_50_500,2450,2450,0,0,7350,0,2450,3677450,0,1227550,3679900,4914504,0.0001,,,
,MPTSPs_D0_50_1000,2450,2450,0,0,7350,0,2450,7352450,0,2452550,7354900,9814504,0.0001,,,
,MPTSPs_D1_50_100,2450,2450,0,0,7350,0,2450,737450,0,247550,739900,994504,0.0005,,,
,MPTSPs_D1_50_500,2450,2450,0,0,7350,0,2450,3677450,0,1227550,3679900,4914504,0.0001,,,
,MPTSPs_D1_50_1000,2450,2450,0,0,7350,0,2450,7352450,0,2452550,7354900,9814504,0.0001,,,
