instance,cont1,bin1,int1,cont2,bin2,int2,cont,bin,int,rows,cols
DCAP_2_3_3_200,6,6,0,0,27,0,6,5406,0,3006,5412
DCAP_2_3_3_300,6,6,0,0,27,0,6,8106,0,4506,8112
DCAP_2_3_3_500,6,6,0,0,27,0,6,13506,0,7506,13512
DCAP_2_4_3_200,6,6,0,0,36,0,6,7206,0,3606,7212
DCAP_2_4_3_300,6,6,0,0,36,0,6,10806,0,5406,10812
DCAP_2_4_3_500,6,6,0,0,36,0,6,18006,0,9006,18012
DCAP_3_3_2_200,6,6,0,0,24,0,6,4806,0,2406,4812
DCAP_3_3_2_300,6,6,0,0,24,0,6,7206,0,3606,7212
DCAP_3_3_2_500,6,6,0,0,24,0,6,12006,0,6006,12012
DCAP_3_4_2_200,6,6,0,0,32,0,6,6406,0,2806,6412
DCAP_3_4_2_300,6,6,0,0,32,0,6,9606,0,4206,9612
DCAP_3_4_2_500,6,6,0,0,32,0,6,16006,0,7006,16012
