windGenerators:	TESLA_WIND	MOHAVE_WIND	IMPRLVLY_WIND	VACA-DIX_WIND	ADELANTO_WIND
1	527.2920104	1211.412054	607.3289232	485.0918434	5627.622453
2	453.8890205	1336.520754	686.371832	518.0261982	6105.579514
3	405.4368469	1266.266146	445.7220312	483.4787526	5680.78988
4	435.5557656	1220.295878	246.3830293	546.0017034	4484.642017
5	440.7938385	1204.502413	102.7855478	603.5983318	4668.00571
6	408.0558833	843.3013041	48.18871579	570.6859727	4063.607258
7	332.0151522	415.395441	62.34600934	464.1216636	3106.633724
8	313.1608696	353.8222973	106.3020294	325.474203	2672.480831
9	291.6131181	481.9610017	133.8882312	235.1457952	2482.083358
10	290.2663836	269.4290462	233.8226549	209.7223108	1970.290635
11	329.3216833	203.173755	380.425329	284.0077572	1243.287411
12	349.5227003	213.7249215	463.860004	279.7181249	1071.752881
13	337.4020901	130.4879415	489.253166	292.5870219	782.1315173
14	295.6533215	125.9880547	413.0736801	227.408213	570.2395375
15	271.412101	27.38357961	238.5327953	192.0364086	295.5175665
16	172.8889155	9.515134708	222.0567068	145.578267	137.7246439
17	116.8431427	3.117600743	178.5933737	150.5708691	141.8626378
18	47.84034054	12.95996069	212.1222306	123.4681721	193.5875606
19	36.17011376	18.12719966	209.6386116	85.56153729	193.5875606
20	40.02867538	36.89915373	213.3640402	92.91462801	283.0851709
21	43.88723699	43.4098097	212.1222306	83.11050704	422.9496221
22	42.27950298	64.87034813	219.5730877	63.01205906	477.8763669
23	36.49166057	72.60676668	199.7041355	46.07514216	559.3732822
24	55.08284592	119.7989198	243.2429357	73.79659212	858.1953049
25	68.01589123	122.8934872	498.3221524	122.7549432	803.864028
26	179.9311549	81.89046893	634.0050419	242.8833774	1053.374181
27	272.7588355	127.5353384	625.1130024	301.1662865	1699.853522
28	307.7739317	149.2455708	460.2324095	286.8675121	2534.009942
29	392.3416648	157.4520336	188.5278498	339.7729774	2819.552567
30	422.4605836	205.5184587	236.9627485	318.3248158	3198.90981
31	370.0798553	153.9349781	182.3188023	227.408213	2672.480831
32	310.4674007	91.94781305	164.933469	188.7203019	2135.906134
33	368.7703371	62.94177762	153.7571834	276.85837	1255.539877
34	345.4824969	56.93194134	182.3188023	298.3065316	863.6284326
35	290.2663836	79.56954337	148.7899453	231.8296885	441.5982156
36	352.2161692	34.89587497	159.966231	239.5672708	339.0309514
37	322.5880109	21.07990765	102.7855478	199.7739908	276.868973
38	360.9132279	12.46784269	64.98337055	234.0404263	174.9665884
39	338.7488245	17.63508166	43.83535165	241.7780085	69.44774577
40	232.7479501	11.4836067	55.31304614	180.9827197	47.93645445
41	167.0203827	13.45207869	76.41193576	167.7182931	40.48178896
42	179.9311549	21.32596664	107.1811498	164.4021864	208.070539
43	145.7218874	61.94013824	169.9007071	156.6646042	438.4901167
44	148.9306368	82.66411079	258.9434037	180.9827197	874.494688
45	182.278568	81.11682708	233.8226549	252.5504535	1310.675976
46	292.9598525	78.79590151	249.5231229	335.4833451	1707.162633
47	302.3869938	123.6671291	246.3830293	385.0802165	1897.199523
48	357.6031071	247.1551548	318.605182	462.5085728	2901.575754
49	527.2920104	237.6092013	505.5773416	660.4023673	3950.332764
50	594.2700931	258.2921005	529.0789751	655.3739421	3260.427201
51	551.4827143	460.3271945	619.7777786	624.9913652	4589.42127
52	427.6986564	550.5171669	683.3407205	509.7981084	5861.950165
53	501.6783239	615.6906616	730.3229481	541.0648495	6236.061113
54	571.4044704	481.9610017	863.610574	527.8999059	6159.302415
55	623.4617872	145.7285153	860.8219655	546.0017034	6443.76112
56	610.4877009	173.8649592	634.0050419	539.4192316	6218.000243
57	577.0964008	118.2516361	529.0789751	501.5700186	5780.740382
58	478.9106026	97.36330603	391.3081127	372.1754904	4842.637798
59	303.7337283	144.5561635	442.0944366	219.6706308	4633.079292
60	239.7901895	61.43931855	500.1359497	238.4619019	4002.6133
