windGenerators:	TESLA_WIND	MOHAVE_WIND	IMPRLVLY_WIND	VACA-DIX_WIND	ADELANTO_WIND
1	547.2137665	1054.218165	53.55480533	284.0077572	2196.487148
2	594.2700931	1102.799125	104.5437886	362.6510164	3219.415607
3	581.3653485	1070.837967	150.0317549	311.1754286	4423.520786
4	494.563411	1308.33123	104.5437886	298.3065316	5232.603405
5	314.5076041	1211.412054	94.87346418	252.5504535	6036.863544
6	393.651183	1218.321695	172.3843261	388.306398	6294.758941
7	415.9129926	1296.686113	136.3718502	496.6331647	6407.63938
8	327.9749488	1333.045036	213.3640402	468.9609358	6696.346419
9	196.3630467	1262.905096	232.2526081	336.9132225	6461.82199
10	203.4052861	1263.730961	246.3830293	422.1813039	6290.243724
11	161.1518499	1247.626589	177.3515642	352.6418744	5780.740382
12	194.0156336	1155.215425	126.4373741	321.1845707	5085.439446
13	255.2512874	1097.68534	210.8804211	397.9849425	4316.296513
14	205.7526992	1189.696039	220.8148973	275.4284926	4002.6133
15	204.5789927	1141.152515	210.8804211	221.8813685	4037.46699
16	202.2315795	891.4389058	220.8148973	315.4650609	3619.222706
17	150.5350115	567.7689743	218.3312782	338.3431	2092.633981
18	249.179842	889.6560316	203.429564	460.895482	2239.759301
19	406.7463651	1306.8739	258.9434037	624.9913652	2942.587348
20	494.563411	1035.094905	258.9434037	714.0389026	1875.27219
21	425.07962	668.9655698	378.6115317	527.8999059	1590.216855
22	523.0230626	612.1177491	689.4029434	603.5983318	1359.685841
23	555.751662	1030.766986	888.7080512	635.2602414	2799.04677
24	585.6342963	1112.933696	912.4818471	725.7718947	3880.625383
25	718.1622045	1262.492163	837.1187926	967.1142537	2932.33445
26	638.0576342	1101.28647	912.4818471	858.9848757	2291.685885
27	582.7883311	1158.873553	825.9643583	573.9772086	2525.355511
28	595.8918539	1032.824522	642.8970815	583.8509164	2308.994746
29	477.48762	854.2371889	527.3005672	475.4132989	1809.490189
30	342.789028	638.0608952	348.4360712	272.5687377	1465.961965
31	243.3113092	845.1138703	205.9131831	189.8256708	890.794071
32	192.841927	856.0618526	131.4046121	189.8256708	543.0738991
33	79.91429291	856.0618526	131.4046121	79.6790647	357.6795449
34	99.195021	1305.597781	95.75258458	68.89453164	233.3555882
35	194.0156336	1238.129138	72.01633375	129.8872319	172.8975915
36	176.4100352	1334.070635	28.84043071	140.5856649	137.7246439
37	252.5578184	1332.224558	27.87301646	203.0900975	152.2076223
38	230.400537	1333.797142	28.84043071	209.7223108	127.3796594
39	326.6282143	855.7814231	49.15613004	215.2491552	106.6896902
40	313.1608696	870.0444161	115.9723538	288.2973895	100.4826995
41	315.8543385	1156.134926	79.92841736	276.85837	61.17175811
42	165.8466761	1279.526132	49.63983717	141.2988938	65.30975194
43	165.8466761	1317.949606	22.55223806	185.4041953	77.72373342
44	167.0203827	1138.595623	19.16628817	130.6004608	129.4486563
45	240.963896	1247.546166	41.41681601	167.7182931	158.4146131
46	267.3718976	1341.074701	72.01633375	131.3136896	208.070539
47	253.9045529	1348.526615	169.9007071	136.3062917	444.7063145
48	398.8892559	1230.166794	137.6136597	173.2451375	706.0677297
49	481.7565677	979.0985025	101.027307	321.1845707	841.8959218
50	505.9472716	654.2392067	96.63170498	351.2119969	1955.672412
51	404.1273287	448.6782213	47.22130153	279.7181249	2568.627664
52	288.9196491	571.6027093	21.58482381	237.356533	3706.356932
53	319.894542	1044.841397	27.87301646	228.5135819	5433.985665
54	352.2161692	1081.065538	35.12862336	292.5870219	5699.530599
