windGenerators:	TESLA_WIND	MOHAVE_WIND	IMPRLVLY_WIND	VACA-DIX_WIND	ADELANTO_WIND
1	77.32768385	306.0218678	396.7495045	102.071306	1889.890412
2	87.6741201	334.6597281	420.3288692	114.1961968	2205.141579
3	85.08751104	318.7498057	389.4943154	119.9020277	2308.994746
4	84.05286741	277.3840074	295.0544801	91.44400987	2127.251704
5	43.88723699	200.8290514	204.6713736	55.65896833	2135.906134
6	64.91196035	20.58778965	214.6058497	81.14968285	2559.973234
7	82.50090198	19.60355365	269.9337313	132.0269185	1897.199523
8	232.7479501	30.88931745	284.0641525	258.2699633	2300.340316
9	155.2833171	54.92866258	210.8804211	182.0880886	1444.034632
10	179.9311549	326.7047669	163.6916595	206.4062041	1120.762746
11	177.5837417	443.6858043	152.5153739	263.9894731	438.4901167
12	354.9096382	676.0356624	179.8351832	370.5623996	385.6524351
13	474.6416548	886.0902834	254.2332633	462.5085728	494.1757499
14	342.789028	973.839071	357.856352	336.9132225	543.0738991
15	171.7152089	941.3593815	436.6530448	231.8296885	847.3290495
16	95.98627159	969.8944973	541.5278305	139.1592072	879.9278156
17	63.87731673	1129.646498	655.3459368	129.8872319	930.8495172
18	40.35022218	925.3135143	440.2806393	83.60071309	684.3352189
19	49.39230598	508.3460822	532.6357909	115.6226545	521.3413883
20	38.42094137	172.6926074	451.163423	114.9094257	255.1122806
21	32.31155215	17.14296367	404.0046937	75.26721027	162.5526069
22	38.09939457	10.00725271	357.856352	92.91462801	201.8635483
23	43.56569019	10.00725271	350.006118	157.7699731	283.0851709
24	23.30824173	34.39505528	476.556585	112.0565102	548.5070268
25	9.308891925	38.4016128	391.3081127	56.14917438	776.6983896
26	7.03710265	16.89690467	343.7259308	44.948144	1495.19841
27	5.887572707	5.332131731	674.2473862	33.6781624	3424.473577
28	5.032015298	9.515134708	867.7934869	24.28651107	4397.325973
29	3.913209454	11.4836067	894.2852684	11.71164121	3688.930086
30	2.333718852	10.4993707	939.40308	11.07117269	3280.932998
31	3.386712587	21.57202564	1024.66389	17.04887887	3250.174303
32	10.82341811	45.41308846	975.6882201	40.06448531	3578.267054
33	20.28920675	166.8308483	953.4489407	88.50277358	3767.35089
34	26.20216294	412.0671629	932.3801497	137.7327494	3178.404013
35	16.69220707	339.4327049	848.2732269	112.0565102	3342.450389
36	13.85247047	321.9317902	759.1185069	109.2035947	3557.761257
37	5.624324273	192.6225886	657.1243448	54.67855623	1787.562856
38	7.226418423	152.7626263	472.9289905	47.95347243	930.8495172
39	6.019196924	392.0974947	224.5403258	59.58061672	912.4708176
40	5.887572707	405.4106069	197.2205165	78.69865261	1626.762411
41	8.551628834	288.5209531	136.3718502	68.40432559	3014.357638
42	5.36107584	382.1126606	198.462326	25.78917528	2963.093145
43	4.308082105	393.7616337	287.2042461	23.88054307	4414.789182
44	5.097827406	296.4759143	337.4457436	29.17016976	3645.362974
45	5.163639514	130.4879415	404.0046937	18.1163264	3845.771693
46	5.75594849	66.41763184	331.1655564	15.98143134	2942.587348
47	10.82341811	34.89587497	434.8392475	24.7345011	4098.460948
48	12.71657584	19.84961265	481.9979769	29.17016976	4290.156245
49	5.887572707	7.30060372	553.9766859	23.66705357	5348.785478
50	10.06615502	3.17747404	472.9289905	30.29716792	5637.061536
51	17.44947016	1.824739788	323.3153224	47.95347243	5755.752757
52	22.98669493	3.306305874	331.1655564	49.08047059	5271.330763
53	11.5806812	3.886049124	307.6148545	30.67283397	3976.473032
54	7.983681515	22.8762024	389.4943154	28.41883765	2963.093145
55	15.55631243	74.92769224	445.7220312	65.4630893	2274.377024
56	10.44478656	191.4502367	331.1655564	29.17016976	2179.178287
57	15.93494398	64.87034813	263.6535441	35.55649267	1882.581301
58	18.20673325	20.58778965	169.9007071	61.54144091	2231.104871
59	10.44478656	22.55626164	179.8351832	45.32381006	2248.413732
60	10.06615502	24.87948116	243.2429357	44.948144	2161.869426
61	12.52726006	143.3838116	321.7452756	56.63938043	1304.549743
62	16.88152284	247.1551548	332.7356032	43.44547979	809.2971557
63	12.52726006	313.976829	293.4844333	40.81581741	304.8418633
64	7.226418423	498.7617447	141.3390882	42.69414768	164.6216038
65	4.308082105	383.7767996	100.1481866	30.29716792	106.6896902
66	3.320900479	196.1396441	90.47786217	17.26236838	63.24075502
67	4.637142647	122.1198454	71.13721335	25.41350923	44.23514167
68	7.03710265	126.7616965	77.29105616	50.5831348	108.7586871
69	12.90589161	390.4333557	166.1752786	66.93370744	345.2471492
70	29.73917775	171.5202556	329.5955096	116.3358834	668.0358359
71	52.49623685	132.8326451	483.8117742	173.2451375	831.0296665
72	42.27950298	80.34318522	677.2784976	227.408213	716.9339851
73	40.67176898	56.93194134	736.385171	299.7364091	831.0296665
74	97.59064629	106.6470083	683.3407205	451.2169375	700.634602
75	152.9415736	37.39997342	594.8800679	485.0918434	1465.961965
76	255.2512874	23.87784178	580.6528046	710.6866191	2456.120066
77	333.3618867	13.69813769	418.5150719	939.7180414	2014.145302
78	427.6986564	14.43631468	422.1426665	969.8461236	1992.217968
79	301.0402594	16.40478667	351.5761648	660.4023673	1495.19841
80	186.9733942	21.57202564	658.9027527	496.6331647	2006.83619
81	89.22608554	2.726562623	825.9643583	362.6510164	4554.494852
82	172.8889155	0.085510036	902.6510941	467.3478451	5624.567723
83	221.0108845	0.472005537	917.1638007	481.8656619	5418.494722
84	164.6729696	2.211235289	698.4962778	467.3478451	4168.168329
85	137.7000139	6.316367725	610.8857391	394.758761	2118.597273
86	96.78845894	3.17747404	721.2296137	328.3339579	2291.685885
87	68.01589123	13.69813769	809.2327068	248.2608212	3127.139521
88	71.1198221	61.94013824	734.8696152	242.8833774	2663.826401
89	190.4945139	184.4161257	703.042945	380.2409442	2187.832718
90	401.5082923	168.0032001	433.0254502	473.8002081	2006.83619
91	346.8292314	83.43775264	249.5231229	404.4373055	2963.093145
92	253.9045529	179.7267184	351.5761648	355.5016292	4327.473138
93	171.7152089	245.5641625	414.8874774	248.2608212	4203.022019
94	171.7152089	135.1773488	210.8804211	298.3065316	2952.840247
95	164.6729696	72.60676668	177.3515642	380.2409442	1280.04481
96	370.0798553	21.81808464	208.3968021	616.7632755	1194.277545
97	368.7703371	22.55626164	109.818511	603.5983318	1267.792343
98	422.4605836	59.93685948	111.5767518	729.1241781	1145.267679
99	354.9096382	125.2144128	104.5437886	595.370242	1487.889299
100	235.0953632	169.1755519	77.29105616	536.1279957	1560.98041
101	215.1423517	109.7415757	65.86249095	447.990756	2799.04677
102	158.8044368	111.2888594	77.29105616	417.3420316	4432.252391
103	128.0737657	102.0051572	62.34600934	383.4671257	4159.454906
104	110.4256439	90.40052934	48.28008293	319.7546932	3915.479074
105	37.45630097	116.7043524	34.64491623	109.2035947	4825.174589
106	15.17768088	178.5543666	35.61233049	50.95880086	5124.166804
107	14.98836511	199.6566995	50.91744413	43.06981373	3854.485116
108	25.23752253	111.2888594	75.53281536	57.61979252	2932.33445
109	14.98836511	283.7479764	87.84050097	56.63938043	2499.392219
110	13.28452316	132.8326451	81.68665816	42.69414768	2447.465636
111	12.52726006	95.81602232	132.6464216	29.92150187	4142.028061
112	28.77453734	125.9880547	276.2139185	51.33446691	3967.759609
113	39.06403497	108.194292	321.7452756	65.95329535	4028.753567
114	95.18408423	98.13694788	215.8476592	145.578267	3837.05827
115	177.5837417	115.1570687	135.1300407	183.1934575	2860.56416
116	136.0956392	240.7911858	156.2408024	134.879834	3671.503241
117	49.90962779	611.8569266	152.5153739	53.21279718	3137.392419
118	59.22142042	715.9958313	177.3515642	38.56182109	1948.363301
