NAME MPTSPs_50_3
COOMENT 
TYPE MPTSPs
DIMENSION 55
N_PATH 3
EDGE_WEIGHT_TYPE : EXPLICIT
EDGE_DATA_FORMAT : EDGE_LIST
NODE_COORD_SECTION
1 14224.925086554464 14116.820969425467
2 14006.24704576748 13973.143618209946
3 13996.165070271552 14005.36662229562
4 14401.306621772323 14684.03005791808
5 15084.572327422753 14018.97123581942
6 15016.121665124667 14158.223407717307
7 15148.23526042523 14457.113140433488
8 16671.17922080417 14509.931087471527
9 17161.525564237207 14226.281856445803
10 15557.8422491356 16170.145663721527
11 16169.260179834018 16427.823910689647
12 16370.283305872814 17139.66176286668
13 13760.420528750072 15340.466351051298
14 13693.755868139797 17331.028514419286
15 13455.988158951408 16759.723628873813
16 10948.081299779338 15359.568747332367
17 12062.117648954538 15905.468397517354
18 12700.004110902448 15274.12698764557
19 11396.446851194329 15655.00058198274
20 12176.97041759136 13300.000324467659
21 11274.60830844558 13295.503897199374
22 12620.461376597419 13876.166828021536
23 12907.05721459149 11852.06703437913
24 12295.312936407947 10400.735313339945
25 12845.709876179746 12158.068730669751
26 12701.284505094538 12008.096932586577
27 14292.082749998845 12992.425929034343
28 14458.476088463925 12045.015946095404
29 14030.95893594339 12025.247987008397
30 14226.429279963968 12511.767694750859
31 15343.287927172492 12731.475595032887
32 16995.772003476934 11385.942588126683
33 17296.879227581336 12396.689893747902
34 16782.97701271064 11403.256778313438
35 16333.971099418357 12007.007335132337
36 14110.613759062111 20411.751330297426
37 20978.436662704444 14345.276396232019
38 19357.708787883043 18382.10187902545
39 19714.44267126699 19096.538333695895
40 7474.405964227899 11466.894696169227
41 7317.319134247095 16255.66110550843
42 12671.045164587933 21054.975248075734
43 13569.156523781407 19994.44917753391
44 8108.67445994266 15555.729987510338
45 10588.795546094832 19229.087271309618
46 10759.006472320947 6685.906689579187
47 8749.123589381832 10131.348979939823
48 5517.878663452253 11678.672433979109
49 12155.768763673212 5562.628102356113
50 7429.847715868699 8496.519807860437
51 16511.797623435657 5357.611863674313
52 17078.4600016257 8538.540777455131
53 21900.295515471167 10063.5934273931
54 22494.27733368313 12275.454790304902
55 23704.814584386222 11588.242573830352
EDGE_WEIGHT_SECTION
1 1 0
1 2 126
1 3 146
1 4 309
1 5 461
1 6 447
1 7 526
1 8 1236
1 9 1506
1 10 1292
1 11 1635
1 12 2051
1 13 704
1 14 1542
1 15 1736
1 16 1903
1 17 1484
1 18 1017
1 19 1644
1 20 1286
1 21 1749
1 22 880
1 23 1449
1 24 2266
1 25 1497
1 26 1055
1 27 664
1 28 962
1 29 1190
1 30 895
1 31 1062
1 32 2195
1 33 1924
1 34 1953
1 35 1781
1 36 3178
1 37 3610
1 38 3736
1 39 3832
1 40 3863
1 41 3787
1 42 2934
1 43 3443
1 44 3345
1 45 3475
1 46 4383
1 47 3668
1 48 5046
1 49 3915
1 50 4768
1 51 4987
1 52 3444
1 53 4049
1 54 4527
1 55 5118
2 1 126
2 2 0
2 3 17
2 4 429
2 5 591
2 6 464
2 7 607
2 8 1420
2 9 1937
2 10 1365
2 11 2000
2 12 1808
2 13 765
2 14 1827
2 15 1377
2 16 1908
2 17 1178
2 18 809
2 19 1924
2 20 1075
2 21 1403
2 22 738
2 23 1216
2 24 2076
2 25 1038
2 26 1331
2 27 551
2 28 959
2 29 993
2 30 831
2 31 842
2 32 2128
2 33 1792
2 34 2143
2 35 1425
2 36 3606
2 37 4115
2 38 4205
2 39 3999
2 40 4028
2 41 3630
2 42 3785
2 43 2694
2 44 3231
2 45 3204
2 46 4147
2 47 3552
2 48 4493
2 49 4199
2 50 4953
2 51 4402
2 52 3082
2 53 4159
2 54 4417
2 55 5247
3 1 146
3 2 17
3 3 0
3 4 448
3 5 544
3 6 554
3 7 659
3 8 1523
3 9 1773
3 10 1585
3 11 1540
3 12 2144
3 13 659
3 14 1877
3 15 1497
3 16 1684
3 17 1415
3 18 1069
3 19 1942
3 20 1010
3 21 1488
3 22 704
3 23 1331
3 24 2093
3 25 1241
3 26 1318
3 27 524
3 28 1085
3 29 1166
3 30 730
3 31 1122
3 32 1785
3 33 2106
3 34 2500
3 35 1624
3 36 3055
3 37 3476
3 38 4098
3 39 3776
3 40 3593
3 41 3713
3 42 3756
3 43 3133
3 44 3188
3 45 3354
3 46 4452
3 47 2999
3 48 4387
3 49 4099
3 50 4590
3 51 5252
3 52 3262
3 53 4531
3 54 4554
3 55 5348
4 1 309
4 2 429
4 3 448
4 4 0
4 5 569
4 6 399
4 7 398
4 8 1297
4 9 1419
4 10 967
4 11 1228
4 12 1569
4 13 459
4 14 1614
4 15 1316
4 16 2085
4 17 1138
4 18 918
4 19 1569
4 20 1164
4 21 1997
4 22 1006
4 23 1826
4 24 2445
4 25 1792
4 26 1862
4 27 944
4 28 1443
4 29 1672
4 30 1078
4 31 1024
4 32 2111
4 33 2069
4 34 2190
4 35 1904
4 36 3346
4 37 3344
4 38 3513
4 39 3509
4 40 4157
4 41 3920
4 42 3474
4 43 2559
4 44 3353
4 45 3039
4 46 4343
4 47 3797
4 48 4549
4 49 5263
4 50 4911
4 51 5164
4 52 3121
4 53 4474
4 54 4142
4 55 5211
5 1 461
5 2 591
5 3 544
5 4 569
5 5 0
5 6 71
5 7 224
5 8 895
5 9 1403
5 10 1192
5 11 1406
5 12 1698
5 13 993
5 14 1971
5 15 1664
5 16 2495
5 17 2121
5 18 1547
5 19 2018
5 20 1648
5 21 2127
5 22 1200
5 23 1562
5 24 2121
5 25 1321
5 26 1806
5 27 645
5 28 1172
5 29 1188
5 30 939
5 31 727
5 32 1684
5 33 1380
5 34 1526
5 35 1386
5 36 3658
5 37 3179
5 38 3182
5 39 3164
5 40 3960
5 41 4055
5 42 3977
5 43 3372
5 44 4298
5 45 3011
5 46 4431
5 47 4076
5 48 5193
5 49 4942
5 50 4346
5 51 4067
5 52 3056
5 53 3795
5 54 4511
5 55 4612
6 1 447
6 2 464
6 3 554
6 4 399
6 5 71
6 6 0
6 7 166
6 8 950
6 9 1021
6 10 1014
6 11 1570
6 12 1802
6 13 882
6 14 1662
6 15 1586
6 16 2299
6 17 1859
6 18 1346
6 19 2057
6 20 1663
6 21 1947
6 22 1107
6 23 1667
6 24 2043
6 25 1511
6 26 1455
6 27 679
6 28 1202
6 29 1304
6 30 863
6 31 773
6 32 1653
6 33 1583
6 34 1615
6 35 1427
6 36 3344
6 37 2785
6 38 2946
6 39 3498
6 40 4588
6 41 4008
6 42 3925
6 43 3503
6 44 3595
6 45 3202
6 46 4792
6 47 3975
6 48 4214
6 49 4775
6 50 5086
6 51 5152
6 52 3140
6 53 4278
6 54 4567
6 55 5311
7 1 526
7 2 607
7 3 659
7 4 398
7 5 224
7 6 166
7 7 0
7 8 803
7 9 1024
7 10 827
7 11 1198
7 12 1600
7 13 853
7 14 1714
7 15 1516
7 16 2072
7 17 1829
7 18 1415
7 19 1909
7 20 1773
7 21 2025
7 22 1377
7 23 1759
7 24 2120
7 25 1521
7 26 1850
7 27 969
7 28 1569
7 29 1433
7 30 1050
7 31 948
7 32 1862
7 33 1560
7 34 1875
7 35 1401
7 36 3533
7 37 3404
7 38 3009
7 39 3514
7 40 4659
7 41 4385
7 42 3624
7 43 3157
7 44 4036
7 45 3600
7 46 4847
7 47 3995
7 48 5833
7 49 4588
7 50 4993
7 51 5711
7 52 3169
7 53 4369
7 54 3924
7 55 4290
8 1 1236
8 2 1420
8 3 1523
8 4 1297
8 5 895
8 6 950
8 7 803
8 8 0
8 9 316
8 10 1019
8 11 977
8 12 1519
8 13 1677
8 14 2121
8 15 1932
8 16 2826
8 17 2700
8 18 1829
8 19 3009
8 20 2575
8 21 2739
8 22 2220
8 23 2490
8 24 2892
8 25 2285
8 26 2495
8 27 1373
8 28 1864
8 29 1753
8 30 2064
8 31 1144
8 32 1521
8 33 1202
8 34 1344
8 35 1497
8 36 2814
8 37 2153
8 38 2782
8 39 2615
8 40 5698
8 41 4934
8 42 4036
8 43 3753
8 44 5126
8 45 3791
8 46 4575
8 47 5411
8 48 5132
8 49 5629
8 50 5875
8 51 4667
8 52 3247
8 53 3902
8 54 3562
8 55 4325
9 1 1506
9 2 1937
9 3 1773
9 4 1419
9 5 1403
9 6 1021
9 7 1024
9 8 316
9 9 0
9 10 1261
9 11 1264
9 12 1658
9 13 1976
9 14 2598
9 15 2296
9 16 3366
9 17 2872
9 18 2440
9 19 3243
9 20 3091
9 21 3511
9 22 2089
9 23 2946
9 24 3178
9 25 2197
9 26 2388
9 27 1820
9 28 1835
9 29 2010
9 30 1801
9 31 1225
9 32 1642
9 33 958
9 34 1200
9 35 1346
9 36 4144
9 37 2474
9 38 2444
9 39 2994
9 40 5145
9 41 4856
9 42 4602
9 43 3706
9 44 5821
9 45 3981
9 46 5114
9 47 5021
9 48 6686
9 49 4325
9 50 6447
9 51 4622
9 52 3008
9 53 3293
9 54 3180
9 55 3353
10 1 1292
10 2 1365
10 3 1585
10 4 967
10 5 1192
10 6 1014
10 7 827
10 8 1019
10 9 1261
10 10 0
10 11 428
10 12 571
10 13 1145
10 14 1024
10 15 1343
10 16 2502
10 17 1958
10 18 1506
10 19 2330
10 20 2233
10 21 2680
10 22 1972
10 23 2255
10 24 3177
10 25 2582
10 26 2506
10 27 1976
10 28 2294
10 29 2269
10 30 2322
10 31 1919
10 32 2742
10 33 2295
10 34 2790
10 35 2591
10 36 2035
10 37 2970
10 38 2126
10 39 2806
10 40 4606
10 41 4381
10 42 3039
10 43 2404
10 44 4043
10 45 2698
10 46 5784
10 47 4388
10 48 6777
10 49 7146
10 50 6299
10 51 5241
10 52 3560
10 53 4355
10 54 3860
10 55 4712
11 1 1635
11 2 2000
11 3 1540
11 4 1228
11 5 1406
11 6 1570
11 7 1198
11 8 977
11 9 1264
11 10 428
11 11 0
11 12 363
11 13 1764
11 14 1337
11 15 1494
11 16 2706
11 17 2477
11 18 2187
11 19 2354
11 20 2608
11 21 3032
11 22 2447
11 23 2719
11 24 3982
11 25 2914
11 26 2377
11 27 1909
11 28 1966
11 29 2688
11 30 2663
11 31 2056
11 32 2626
11 33 1963
11 34 2410
11 35 2397
11 36 2471
11 37 2822
11 38 2065
11 39 2398
11 40 5687
11 41 4827
11 42 2937
11 43 2585
11 44 4634
11 45 3708
11 46 5479
11 47 4904
11 48 6906
11 49 6526
11 50 5050
11 51 6620
11 52 5221
11 53 4648
11 54 3813
11 55 4603
12 1 2051
12 2 1808
12 3 2144
12 4 1569
12 5 1698
12 6 1802
12 7 1600
12 8 1519
12 9 1658
12 10 571
12 11 363
12 12 0
12 13 1468
12 14 1464
12 15 1449
12 16 2530
12 17 2491
12 18 2254
12 19 2457
12 20 2935
12 21 3269
12 22 2597
12 23 3576
12 24 3410
12 25 2900
12 26 3350
12 27 2284
12 28 2992
12 29 2411
12 30 1910
12 31 2734
12 32 3047
12 33 2426
12 34 3074
12 35 2584
12 36 2223
12 37 3143
12 38 1721
12 39 2145
12 40 5540
12 41 4336
12 42 2783
12 43 2015
12 44 4315
12 45 3921
12 46 6891
12 47 5534
12 48 6685
12 49 7128
12 50 6087
12 51 6173
12 52 4344
12 53 4129
12 54 3768
12 55 4943
13 1 704
13 2 765
13 3 659
13 4 459
13 5 993
13 6 882
13 7 853
13 8 1677
13 9 1976
13 10 1145
13 11 1764
13 12 1468
13 13 0
13 14 1103
13 15 790
13 16 1580
13 17 848
13 18 567
13 19 1217
13 20 1391
13 21 2136
13 22 935
13 23 1655
13 24 2890
13 25 1856
13 26 1910
13 27 1343
13 28 1675
13 29 1607
13 30 1668
