loads:	DIABLOL	MIDWAY2L	ROUND_MT2L	EAGLROCKL	LITEHIPEL	LUGOL	MESA_CAL2L	MIRALOMAL	MIRALOMA2L	PARDEEL	VALLEYL	VINCENT2L	MIGUEL2L	MISSION2L	S_ONOFRE2L	SERRANO2L	GATES2L	MORROBAYL	PANOCHEL	WILSONL	GREGGL	MC_CALLL	TABLE_MTL	SUMMITL	HUMBOLDTL	FULTONL	SOBRANTEL	C_COSTAL	PITSBURG2L	MORAGAL	NEWARKL	METCALF2L	SANMATEOL	RAVENSWDL	MONTAVISL	JEFFERSNL	MARTINL	MARTIN2L	EMBRCDRDL	POTREROL
1	137.6398584	359.4537733	108.6088851	530.7740419	1247.227223	635.1144556	1254.789067	777.3850255	1152.939759	1134.951943	755.7797809	782.8583596	1112.754695	1229.794671	1328.673997	1705.286652	160.9735243	208.4402595	315.598699	323.1108445	401.4306014	371.387788	182.4268131	228.209078	75.47435331	449.8789579	393.0477668	332.8850643	481.3851741	421.924632	472.9756718	450.1627019	302.030622	309.7386526	383.9937225	248.5612258	114.7807851	223.1138253	245.667545	172.2464238
2	134.4721345	351.1810947	106.1092969	518.5584988	1218.522809	620.4975615	1225.91062	759.4938335	1126.405331	1108.831498	738.3858246	764.8412011	1087.14511	1201.49146	1298.09512	1666.040192	157.2687858	203.6430939	308.3353267	315.6745832	392.1918436	362.840453	178.2283362	222.9569413	73.73734256	439.5251814	384.0019364	325.2238534	470.3062952	412.2142126	462.0903341	439.8023951	295.0795133	302.6101468	375.1562672	242.8406929	112.1391533	217.9789538	240.013609	168.2822442
3	133.1382627	347.6976181	105.0567652	513.4147527	1206.435895	614.3426494	1213.750424	751.9601734	1115.23216	1097.832647	731.0615415	757.2544987	1076.361373	1189.573485	1285.218903	1649.514211	155.7087868	201.6230935	305.2768508	312.5433069	388.3015684	359.2413235	176.4604328	220.7453607	73.00591848	435.1653918	380.1928995	321.9978549	465.6411779	408.1253292	457.5067136	435.4398557	292.152526	299.6084608	371.4349732	240.4318791	111.0268095	215.8167514	237.6328379	166.6129993
4	133.8517336	349.5608849	105.6197509	516.1660763	1212.90103	617.6348327	1220.254756	755.9898313	1121.208545	1103.715791	734.9792063	761.3125282	1082.129456	1195.948256	1292.106225	1658.353745	156.5432102	202.7035658	306.9127902	314.2181863	390.3824266	361.1664516	177.4060616	221.9283068	73.39714781	437.4973872	382.2303043	323.7234	468.1364891	410.3124203	459.9584332	437.773322	293.7181339	301.214024	373.4254455	241.7203226	111.6217878	216.9732856	238.9062817	167.5058569
5	139.1734469	363.4588208	109.8190094	536.6879463	1261.123876	642.1909248	1268.769974	786.0466787	1165.785857	1147.59762	764.2007076	791.5809969	1125.15305	1243.497089	1343.478133	1724.28702	162.7670973	210.7627087	319.1151116	326.7109577	405.9033563	375.5258047	184.4594196	230.7517922	76.31529139	454.8915262	397.4271198	336.5940822	486.7487858	426.6257321	478.2455846	455.1784317	305.3958586	313.1897724	388.272195	251.3307044	116.059677	225.599768	248.404782	174.1655999
6	153.6083432	401.1563165	121.2093001	592.3525508	1391.926072	708.7981667	1400.365213	867.57446	1286.699712	1266.625015	843.4626521	873.6827908	1241.852521	1372.471057	1482.82201	1903.12792	179.6490977	232.6227541	352.2133331	360.5970108	448.0031463	414.4748729	203.5913205	254.6850803	84.23061825	502.072308	438.6477651	371.5052007	537.2337629	470.874821	527.8486202	502.388971	337.0711362	345.673425	428.5433029	277.3984116	128.0972419	248.9986946	274.1690163	192.2298388
7	171.9224667	448.984619	135.660612	662.9764344	1557.879987	793.3054068	1567.325294	971.0119781	1440.107899	1417.639773	944.0254134	977.8485813	1389.913752	1536.105426	1659.613093	2130.030437	201.0679587	260.3574575	394.2063546	403.5895855	501.4168135	463.8910949	227.8647194	285.0501888	94.27310624	561.9324305	490.9460267	415.7983163	601.2860484	527.0153888	590.7819518	562.2868479	377.2588127	386.8867188	479.636849	310.471542	143.3697763	278.6858375	306.8571184	215.1486525
8	177.5783857	463.7553508	140.1235857	684.7870861	1609.131247	819.4036314	1618.887287	1002.956408	1487.484683	1464.2774	975.0820368	1010.017922	1435.639246	1586.640345	1714.211177	2200.104348	207.6827085	268.9227179	407.1749867	416.8669079	517.9124639	479.1522212	235.3610311	294.4277927	97.37451042	580.4189285	507.0972083	429.4772825	621.0672049	544.3531832	610.2175437	580.7850056	389.6699033	399.614549	495.4159803	320.6854595	148.0863667	287.8540664	316.9521284	222.22663
9	180.8071069	472.1873271	142.6713056	697.2378501	1638.38839	834.3019866	1648.321813	1021.19211	1514.530054	1490.900817	992.8109289	1028.382017	1461.741966	1615.488559	1745.378877	2240.106534	211.458785	273.8122571	414.5782217	424.4463609	527.329122	487.8641425	239.6403534	299.7810638	99.14496882	590.9720759	516.317224	437.2860167	632.3594173	554.2505851	621.3124881	591.344809	396.7548617	406.8803204	504.4236085	326.5161463	150.7788655	293.0878145	322.7149359	226.2671433
10	181.7993941	474.7787376	143.4542998	701.0643601	1647.380027	838.8807181	1657.367966	1026.796513	1522.841944	1499.083028	998.259573	1034.025878	1469.76415	1624.35452	1754.957688	2252.400459	212.6192916	275.3149657	416.8534678	426.7757643	530.2231562	490.541589	240.9555233	301.4262918	99.68908618	594.2153889	519.1508238	439.6858854	635.829868	557.2923669	624.7223122	594.5901676	398.9322914	409.1133197	507.191935	328.308099	151.6063547	294.6963092	324.4860273	227.5089197
11	181.5189052	474.046226	143.2329716	699.9827241	1644.838369	837.5864524	1654.810898	1025.212322	1520.49243	1496.77017	996.7194099	1032.430533	1467.496527	1621.848387	1752.250055	2248.925347	212.2912523	274.8901965	416.2103261	426.117314	529.4051022	489.7847577	240.5837655	300.9612368	99.53528104	593.2986047	518.3498528	439.0075168	634.848879	556.4325493	623.7584604	593.6728051	398.3167994	408.4821199	506.4094147	327.8015694	151.3724491	294.2416375	323.9853945	227.1579079
12	179.6196285	469.0861645	141.73429	692.6586337	1627.628023	828.8225805	1637.496207	1014.485275	1504.583146	1481.109098	986.290491	1021.62796	1452.141752	1604.878591	1733.915834	2225.394291	210.069997	272.0139532	411.8554157	421.6587444	523.8658072	484.66002	238.0664787	297.8122058	98.49381906	587.0907763	512.9262316	434.4140738	628.2062999	550.6104595	617.2319231	587.4610614	394.1491133	404.2080716	501.1107292	324.3717015	149.7886022	291.1629153	320.5954562	224.7810992
13	178.0002504	464.8570729	140.4564708	686.4139029	1612.953985	821.3502505	1622.733202	1005.339085	1491.018432	1467.756016	977.3984939	1012.417375	1439.049827	1590.409653	1718.283548	2205.331034	208.1760906	269.5615851	408.1422934	417.8572393	519.1428444	480.2905208	235.9201674	295.1272511	97.60583852	581.7978027	508.3018956	430.4975718	622.5426454	545.6463777	611.6672091	582.1647495	390.5956239	400.5638947	496.592917	321.4472971	148.4381686	288.537908	317.7050969	222.7545635
14	176.6411928	461.307822	139.3840653	681.1730336	1600.638849	815.0791227	1610.3434	997.6631755	1479.634291	1456.549487	969.9359152	1004.687422	1428.062474	1578.266645	1705.164205	2188.493013	206.5866361	267.5034435	405.0260681	414.6668389	515.1791139	476.6234333	234.1188828	292.8739119	96.86060385	577.3556925	504.4209372	427.2106606	617.7894424	541.4802888	606.9970416	577.7198376	387.6133699	397.5055315	492.8013584	318.9930005	147.3048217	286.3348794	315.2793726	221.0538002
15	174.2993911	455.1920828	137.536196	672.1424549	1579.41855	804.2732983	1588.994444	984.4367624	1460.018197	1437.239437	957.0770933	991.3678855	1409.130088	1557.342944	1682.558173	2159.4793	203.8478359	263.9570451	399.6564782	409.1694375	508.3491817	470.3046491	231.0150767	288.9911673	95.57648473	569.701461	497.7336305	421.5469609	609.5991648	534.3016717	598.9498432	570.0607785	382.4746271	392.2356444	486.268097	314.7639849	145.3519438	282.5388253	311.0995899	218.1232031
16	173.4053881	452.8573467	136.8307559	668.6949537	1571.317519	800.1480818	1580.844296	979.3874655	1452.529584	1429.86766	952.1681275	986.283038	1401.902487	1549.355141	1673.928126	2148.403066	202.8022753	262.603177	397.6065911	407.0707573	505.7417964	467.8923988	229.830172	287.5088961	95.08626121	566.7793923	495.1806936	419.3847948	606.4724558	531.5611729	595.8777559	567.1368668	380.5128678	390.2238196	483.7739682	313.1495218	144.6064158	281.089649	309.503922	217.0044224
17	181.515757	474.0380044	143.2304874	699.9705839	1644.809842	837.5719256	1654.782198	1025.194541	1520.46606	1496.744211	996.7021232	1032.412627	1467.471075	1621.820258	1752.219664	2248.886342	212.2875704	274.8854289	416.2031075	426.1099236	529.3959204	489.7762631	240.5795929	300.956017	99.53355474	593.2883147	518.3408627	438.9999028	634.8378684	556.4228988	623.7476422	593.6625087	398.3098911	408.4750354	506.4006318	327.7958842	151.3698238	294.2365343	323.9797755	227.1539682
18	198.2396237	517.713267	156.4269592	764.4620357	1796.353602	914.7412106	1807.244757	1119.650345	1660.553466	1634.646016	1088.532792	1127.533466	1602.675814	1771.245885	1913.659577	2456.0864	231.8465832	300.2118652	454.5497799	465.3693557	578.171558	534.9015626	262.7452775	328.6844544	108.7040307	647.9506472	566.0979479	479.4469469	693.3283489	607.6886539	681.2163301	648.3593173	435.0079807	446.1096855	553.0576095	357.9971997	165.3162094	321.3458754	353.8294957	248.0826894
19	197.0764458	514.6755665	155.5091186	759.9765282	1785.813435	909.3739348	1796.640685	1113.080758	1650.810111	1625.054674	1082.145788	1120.917624	1593.272058	1760.853038	1902.431113	2441.675228	230.4862153	298.4503617	451.8826933	462.6387849	574.7791163	531.7630092	261.2036105	326.7558869	108.0662061	644.1487743	562.7763486	476.6337753	689.2602208	604.1230197	677.2192696	644.5550466	432.4555563	443.4921215	549.8125248	355.8966387	164.3462108	319.4603673	351.7533888	246.6270556
20	192.9171233	503.8132757	152.2270796	743.9371305	1748.123624	890.1814866	1758.722364	1089.589052	1615.969561	1590.757696	1059.306969	1097.260521	1559.645856	1723.690019	1862.280072	2390.143373	225.6217755	292.1515303	442.3456537	452.8747367	562.6483327	520.5400858	255.6908763	319.859664	105.7854556	630.5539356	550.8988848	466.5743612	674.7132995	591.3729294	662.926474	630.9516334	423.3285288	434.132166	538.2086641	348.3853966	160.8776639	312.7181171	344.3295905	241.4219614
21	186.5662294	487.2275801	147.215715	719.4464803	1690.574831	860.876425	1700.824656	1053.719429	1562.771322	1538.389439	1024.434242	1061.138351	1508.301812	1666.945588	1800.973211	2311.459082	218.1942339	282.5338077	427.7834922	437.9659543	544.1257681	503.4037383	247.2734502	309.3297807	102.3029643	609.7958966	532.7631159	451.2145827	652.50152	571.9047418	641.1027207	610.1805021	409.3924171	419.8403951	520.4906613	336.916437	155.5815193	302.4233359	332.9941493	233.4742726
22	175.2184815	457.5923362	138.2614321	675.6866998	1587.746913	808.5142766	1597.373301	989.6277528	1467.716955	1444.818082	962.1238147	996.5954241	1416.560511	1565.554901	1691.430397	2170.866356	204.922737	265.3489055	401.7638893	411.327011	511.0297356	472.7845919	232.2332322	290.515034	96.08046491	572.7055289	500.3582079	423.7698017	612.8136155	537.1190745	602.1081394	573.066741	384.4914373	394.303925	488.832216	316.4237531	146.1183927	284.0286684	312.7400356	219.273379
23	159.6566122	416.951691	125.9818693	615.676203	1446.732622	736.7068199	1455.504051	901.7348682	1337.363015	1316.497884	876.6736672	908.0837121	1290.749983	1426.511573	1541.207552	1978.062844	186.7227113	241.7821849	366.0815966	374.7953784	465.6430965	430.7946604	211.6076499	264.7132067	87.54716621	521.8412106	455.9193508	386.133074	558.3871341	489.4153347	548.6324551	522.1703421	350.3431816	359.2841822	445.4170294	288.3208666	133.1410212	258.8029217	284.9643151	199.7988142
24	145.8551032	380.9083199	115.091372	562.4541	1321.669882	673.0222304	1329.683065	823.7844361	1221.754726	1202.693281	800.8896496	829.5844545	1179.171156	1303.196841	1407.977931	1807.069286	170.5814745	220.8813343	334.4356886	342.3962079	425.390599	393.5546344	193.3152357	241.8300848	79.97915517	476.7306695	416.5074221	352.7538169	510.1173822	447.107847	501.205946	477.0313492	320.0577803	328.2258764	406.9129734	263.3969816	121.6316513	236.4307142	260.330587	182.5272142
