importGroups: ARIZONA_IMPORT	AZNVLA_IMPORT	BAY_AREA	FRESNO_AREA	LADWP_IMPORT	MIGUEL_CORRIDOR	NORTH_BAY_AREA	NORTH_OF_SONGS	NW_IMPORT	P15	P26	SCIT_IMPORT	SDGE	SF_AREA	SOUTH_OF_LUGO	SOUTH_OF_SONGS	S_NEVADA_IMPORT
L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
